sheet,fuel_label,scenario,base_abs_gap,base_gap_ratio,projection_abs_gap,projection_gap_ratio,ninth_fuel_code,mapping_source,flow_source,fuel_source,sector_match_method,mapping_note,comparator_scope,worst_gap_ratio,worst_abs_gap,issue_cause,agent_debug_hint
esto__07__Total_primary_energy_supply,Fuel oil,Target,,,417.28971432599985,9414.333659925918,07_08_fuel_oil,balance_table_esto_axis,esto_flow,esto_product,esto_pair_axis,,esto_pair,9414.333659925918,417.28971432599985,direct_mapping_numeric_gap,"Mapping looks direct; inspect source data values, signs, and scenario-specific series."
esto__13__Total_final_energy_consumption,Gasoline type jet fuel,Target,,,2739.158991316502,8134.629429767991,07_x_jet_fuel,balance_table_esto_axis,esto_flow,esto_product,esto_pair_axis,,esto_pair,8134.629429767991,2739.158991316502,aggregate_fuel_mapping,The 9th fuel is an aggregate bucket; compare against sibling fuels and the shared aggregate fuel audit.
esto__09__Total_transformation_sector,Refinery gas (not liquefied),Target,,,626.2815941362716,7344.351351912303,07_10_refinery_gas_not_liquefied,balance_table_esto_axis,esto_flow,esto_product,esto_pair_axis,,esto_pair,7344.351351912303,626.2815941362716,direct_mapping_numeric_gap,"Mapping looks direct; inspect source data values, signs, and scenario-specific series."
esto__07__Total_primary_energy_supply,Gasoline type jet fuel,Target,,,1238.161814183498,3677.036478861413,07_x_jet_fuel,balance_table_esto_axis,esto_flow,esto_product,esto_pair_axis,,esto_pair,3677.036478861413,1238.161814183498,aggregate_fuel_mapping,The 9th fuel is an aggregate bucket; compare against sibling fuels and the shared aggregate fuel audit.
esto__09__Total_transformation_sector,Kerosene type jet fuel,Target,,,3974.863000442914,922.6466589812939,07_x_jet_fuel,balance_table_esto_axis,esto_flow,esto_product,esto_pair_axis,,esto_pair,922.6466589812939,3974.863000442914,aggregate_fuel_mapping,The 9th fuel is an aggregate bucket; compare against sibling fuels and the shared aggregate fuel audit.
esto__02__Imports,Fuel oil,Target,,,28.05194937400019,632.870646343974,07_08_fuel_oil,balance_table_esto_axis,esto_flow,esto_product,esto_pair_axis,,esto_pair,632.870646343974,28.05194937400019,direct_mapping_numeric_gap,"Mapping looks direct; inspect source data values, signs, and scenario-specific series."
esto__16_01__Commercial_and_public_services,Anthracite,Target,,,11.481343813173318,423.959985470852,01_x_thermal_coal,balance_table_esto_axis,esto_flow,esto_product,esto_pair_axis,,esto_pair,423.959985470852,11.481343813173318,aggregate_fuel_mapping,The 9th fuel is an aggregate bucket; compare against sibling fuels and the shared aggregate fuel audit.
esto__02__Imports,White spirit SBP,Target,,,100.53264921650185,298.5572759966177,07_03_naphtha,balance_table_esto_axis,esto_flow,esto_product,esto_pair_axis,,esto_pair,298.5572759966177,100.53264921650185,direct_mapping_numeric_gap,"Mapping looks direct; inspect source data values, signs, and scenario-specific series."
esto__07__Total_primary_energy_supply,White spirit SBP,Target,,,100.53264921650185,298.5572759966177,07_03_naphtha,balance_table_esto_axis,esto_flow,esto_product,esto_pair_axis,,esto_pair,298.5572759966177,100.53264921650185,direct_mapping_numeric_gap,"Mapping looks direct; inspect source data values, signs, and scenario-specific series."
esto__14_03_11__Non-specified_industry,Other biomass,Target,,,1.219352350080329,255.0000001179807,15_05_other_biomass,balance_table_esto_axis,esto_flow,esto_product,esto_pair_axis,,esto_pair,255.0000001179807,1.219352350080329,direct_mapping_numeric_gap,"Mapping looks direct; inspect source data values, signs, and scenario-specific series."
esto__14_03_09__Wood_and_wood_products,Other biomass,Target,,,118.87972031840087,255.00000002278276,15_05_other_biomass,balance_table_esto_axis,esto_flow,esto_product,esto_pair_axis,,esto_pair,255.00000002278276,118.87972031840087,direct_mapping_numeric_gap,"Mapping looks direct; inspect source data values, signs, and scenario-specific series."
esto__14_03_04__Non-metallic_mineral_products,Other biomass,Target,,,13.907001309960114,254.99999999613013,15_05_other_biomass,balance_table_esto_axis,esto_flow,esto_product,esto_pair_axis,,esto_pair,254.99999999613013,13.907001309960114,direct_mapping_numeric_gap,"Mapping looks direct; inspect source data values, signs, and scenario-specific series."
esto__14_03_07__Food__beverages_and_tobacco,Other biomass,Target,,,13.862155665222712,254.9999999450746,15_05_other_biomass,balance_table_esto_axis,esto_flow,esto_product,esto_pair_axis,,esto_pair,254.9999999450746,13.862155665222712,direct_mapping_numeric_gap,"Mapping looks direct; inspect source data values, signs, and scenario-specific series."
esto__14_03__Manufacturing,Other biomass,Target,,,1254.735956194716,252.7000777097774,15_05_other_biomass,balance_table_esto_axis,esto_flow,esto_product,esto_pair_axis,,esto_pair,252.7000777097774,1254.735956194716,direct_mapping_numeric_gap,"Mapping looks direct; inspect source data values, signs, and scenario-specific series."
esto__14__Industry_sector,Other biomass,Target,,,1254.735956194716,252.7000777097774,15_05_other_biomass,balance_table_esto_axis,esto_flow,esto_product,esto_pair_axis,,esto_pair,252.7000777097774,1254.735956194716,direct_mapping_numeric_gap,"Mapping looks direct; inspect source data values, signs, and scenario-specific series."
esto__14_03_08__Pulp__paper_and_printing,Other biomass,Target,,,1106.867726551052,252.39596502116945,15_05_other_biomass,balance_table_esto_axis,esto_flow,esto_product,esto_pair_axis,,esto_pair,252.39596502116945,1106.867726551052,direct_mapping_numeric_gap,"Mapping looks direct; inspect source data values, signs, and scenario-specific series."
esto__01__Production,Anthracite,Target,,,8929.6578133216,234.08676916069638,01_x_thermal_coal,balance_table_esto_axis,esto_flow,esto_product,esto_pair_axis,,esto_pair,234.08676916069638,8929.6578133216,aggregate_fuel_mapping,The 9th fuel is an aggregate bucket; compare against sibling fuels and the shared aggregate fuel audit.
esto__07__Total_primary_energy_supply,Anthracite,Target,,,8018.658420221602,210.20534961514613,01_x_thermal_coal,balance_table_esto_axis,esto_flow,esto_product,esto_pair_axis,,esto_pair,210.20534961514613,8018.658420221602,aggregate_fuel_mapping,The 9th fuel is an aggregate bucket; compare against sibling fuels and the shared aggregate fuel audit.
esto__14_03_11__Non-specified_industry,Bitumen,Target,,,17.26526233320387,195.00000008989034,07_x_other_petroleum_products,balance_table_esto_axis,esto_flow,esto_product,esto_pair_axis,,esto_pair,195.00000008989034,17.26526233320387,aggregate_fuel_mapping,The 9th fuel is an aggregate bucket; compare against sibling fuels and the shared aggregate fuel audit.
esto__13__Total_final_energy_consumption,Bitumen,Target,,,65.66199578950183,195.00000002185544,07_x_other_petroleum_products,balance_table_esto_axis,esto_flow,esto_product,esto_pair_axis,,esto_pair,195.00000002185544,65.66199578950183,aggregate_fuel_mapping,The 9th fuel is an aggregate bucket; compare against sibling fuels and the shared aggregate fuel audit.
esto__14_03__Manufacturing,Bitumen,Target,,,65.66199578950183,195.00000002185544,07_x_other_petroleum_products,balance_table_esto_axis,esto_flow,esto_product,esto_pair_axis,,esto_pair,195.00000002185544,65.66199578950183,aggregate_fuel_mapping,The 9th fuel is an aggregate bucket; compare against sibling fuels and the shared aggregate fuel audit.
esto__14__Industry_sector,Bitumen,Target,,,65.66199578950183,195.00000002185544,07_x_other_petroleum_products,balance_table_esto_axis,esto_flow,esto_product,esto_pair_axis,,esto_pair,195.00000002185544,65.66199578950183,aggregate_fuel_mapping,The 9th fuel is an aggregate bucket; compare against sibling fuels and the shared aggregate fuel audit.
esto__14_03_02__Chemical__incl__petrochemical,Bitumen,Target,,,17.846710537500012,195.00000000002578,07_x_other_petroleum_products,balance_table_esto_axis,esto_flow,esto_product,esto_pair_axis,,esto_pair,195.00000000002578,17.846710537500012,aggregate_fuel_mapping,The 9th fuel is an aggregate bucket; compare against sibling fuels and the shared aggregate fuel audit.
esto__14_03_04__Non-metallic_mineral_products,Bitumen,Target,,,28.317913470916153,194.9999999970114,07_x_other_petroleum_products,balance_table_esto_axis,esto_flow,esto_product,esto_pair_axis,,esto_pair,194.9999999970114,28.317913470916153,aggregate_fuel_mapping,The 9th fuel is an aggregate bucket; compare against sibling fuels and the shared aggregate fuel audit.
esto__14_03_03__Non_ferrous_metals,Bitumen,Target,,,0.09654386426018287,194.9999999916013,07_x_other_petroleum_products,balance_table_esto_axis,esto_flow,esto_product,esto_pair_axis,,esto_pair,194.9999999916013,0.09654386426018287,aggregate_fuel_mapping,The 9th fuel is an aggregate bucket; compare against sibling fuels and the shared aggregate fuel audit.
esto__14_03_06__Machinery,Bitumen,Target,,,1.8152004557136339,194.99999998627257,07_x_other_petroleum_products,balance_table_esto_axis,esto_flow,esto_product,esto_pair_axis,,esto_pair,194.99999998627257,1.8152004557136339,aggregate_fuel_mapping,The 9th fuel is an aggregate bucket; compare against sibling fuels and the shared aggregate fuel audit.
esto__14_03_08__Pulp__paper_and_printing,Bitumen,Target,,,0.3203651279079799,194.9999999781217,07_x_other_petroleum_products,balance_table_esto_axis,esto_flow,esto_product,esto_pair_axis,,esto_pair,194.9999999781217,0.3203651279079799,aggregate_fuel_mapping,The 9th fuel is an aggregate bucket; compare against sibling fuels and the shared aggregate fuel audit.
esto__07__Total_primary_energy_supply,Refinery gas (not liquefied),Target,,,60.466638101335285,143.2851597010102,07_10_refinery_gas_not_liquefied,balance_table_esto_axis,esto_flow,esto_product,esto_pair_axis,,esto_pair,143.2851597010102,60.466638101335285,direct_mapping_numeric_gap,"Mapping looks direct; inspect source data values, signs, and scenario-specific series."
esto__09_08__Coal_transformation,Blast furnace gas,Target,,,233.4304020454544,120.70134142626516,02_coal_products|16_02_industrial_waste,balance_table_esto_axis,esto_flow,esto_product,esto_pair_axis,,esto_pair,120.70134142626516,233.4304020454544,direct_mapping_numeric_gap,"Mapping looks direct; inspect source data values, signs, and scenario-specific series."
esto__09_06_02__Liquefaction_regasification_plants,LNG,Target,,,7449.147538822097,85.85961940411296,08_02_lng,balance_table_esto_axis,esto_flow,esto_product,esto_pair_axis,,esto_pair,85.85961940411296,7449.147538822097,direct_mapping_numeric_gap,"Mapping looks direct; inspect source data values, signs, and scenario-specific series."
esto__09_06__Gas_processing_plants,LNG,Target,,,7449.147538822097,85.85961940411296,08_02_lng,balance_table_esto_axis,esto_flow,esto_product,esto_pair_axis,,esto_pair,85.85961940411296,7449.147538822097,direct_mapping_numeric_gap,"Mapping looks direct; inspect source data values, signs, and scenario-specific series."
